Time,M1SetpointPWM,M2SetpointPWM,M1SetpointVel,M2SetpointVel,M1SetpointPos,M2SetpointPos,M1PWM,M2PWM,M1Speed,M2Speed,M1ISpeed,M2ISpeed,M1SpeedError,M2SpeedError,M1Pos,M2Pos,M1PosError,M2PosError,M1Current,M2Current,Temp1,Temp2,MBatt,LBatt
1.60505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,24.2,26.1,0
2.15515,0,0,0,0,0,0,5120,-5120,474,444,900,600,0,0,75,66,0,0,7.31,4.82,24.1,24.2,26,0
2.53115,0,0,0,0,0,0,5120,-5120,867,804,1200,600,0,0,396,378,0,0,7.33,5.63,24.2,24.2,26,0
2.53375,0,0,0,0,0,0,5120,-5120,868,807,900,900,0,0,399,381,0,0,7.33,5.63,24.2,24.2,26,0
2.5366,0,0,0,0,0,0,5120,-5120,869,810,900,900,0,0,402,384,0,0,7.31,5.63,24.1,24.2,26,0
2.53855,0,0,0,0,0,0,5120,-5120,869,810,900,900,0,0,402,384,0,0,7.31,5.63,24.1,24.2,26,0
2.54065,0,0,0,0,0,0,5120,-5120,861,803,600,600,0,0,404,386,0,0,7.31,5.63,24.1,24.1,26,0
2.54325,0,0,0,0,0,0,5120,-5120,871,797,1200,600,0,0,408,388,0,0,7.3,5.61,24.1,24.1,26,0
2.54555,0,0,0,0,0,0,5120,-5120,871,797,1200,600,0,0,408,388,0,0,7.3,5.63,24.1,24.1,26,0
2.5478,0,0,0,0,0,0,5120,-5120,863,800,600,900,0,0,410,391,0,0,7.28,5.63,24.1,24.1,26,0
2.54995,0,0,0,0,0,0,5120,-5120,864,803,900,900,0,0,413,394,0,0,7.28,5.63,24.1,24.1,26,0
2.5521,0,0,0,0,0,0,5120,-5120,864,803,900,900,0,0,413,394,0,0,7.27,5.63,24.1,24.1,26,0
2.55435,0,0,0,0,0,0,5120,-5120,865,797,900,600,0,0,416,396,0,0,7.27,5.63,24.2,24.2,26,0
2.5566,0,0,0,0,0,0,5120,-5120,866,800,900,900,0,0,419,399,0,0,7.28,5.63,24.2,24.2,26,0
2.5589,0,0,0,0,0,0,5120,-5120,866,800,900,900,0,0,419,399,0,0,7.27,5.63,24.2,24.2,26,0
2.56115,0,0,0,0,0,0,5120,-5120,876,803,1200,900,0,0,423,402,0,0,7.28,5.63,24.2,24.2,26,0
2.56375,0,0,0,0,0,0,5120,-5120,877,806,900,900,0,0,426,405,0,0,7.27,5.63,24.1,24.1,26,0
2.5666,0,0,0,0,0,0,5120,-5120,878,800,900,600,0,0,429,407,0,0,7.28,5.63,24.2,24.1,26,0
2.569,0,0,0,0,0,0,5120,-5120,878,803,900,900,0,0,429,407,0,0,7.28,5.63,24.2,24.1,26,0
2.5719,0,0,0,0,0,0,5120,-5120,879,803,900,900,0,0,432,410,0,0,7.27,5.61,24.1,24.2,26,0
2.5743,0,0,0,0,0,0,5120,-5120,870,806,600,900,0,0,434,413,0,0,7.25,5.63,24.1,24.1,26,0
2.5839,0,0,0,0,0,0,5120,-5120,873,806,900,900,0,0,443,421,0,0,7.28,5.61,24.2,24.2,26,0
2.5866,0,0,0,0,0,0,5120,-5120,873,808,900,900,0,0,446,424,0,0,7.28,5.61,24.2,24.2,26,0
2.5884,0,0,0,0,0,0,5120,-5120,873,808,900,900,0,0,446,424,0,0,7.31,5.61,24.2,24.2,26,0
2.59,0,0,0,0,0,0,5120,-5120,874,811,900,900,0,0,449,427,0,0,7.31,5.63,24.2,24.2,26,0
2.5919,0,0,0,0,0,0,5120,-5120,874,811,900,900,0,0,449,427,0,0,7.31,5.63,24.2,24.2,26,0
2.5935,0,0,0,0,0,0,5120,-5120,875,805,900,600,0,0,452,429,0,0,7.3,5.61,24.2,24.1,26,0
2.5966,0,0,0,0,0,0,5120,-5120,876,808,900,900,0,0,455,432,0,0,7.3,5.61,24.1,24.1,26,0
2.5985,0,0,0,0,0,0,5120,-5120,876,808,900,900,0,0,455,432,0,0,7.28,5.63,24.1,24.1,26,0
2.6005,0,0,0,0,0,0,5120,-5120,877,811,900,900,0,0,458,435,0,0,7.27,5.63,24.2,24.2,26,0
2.60325,0,0,0,0,0,0,5120,-5120,877,813,900,900,0,0,461,438,0,0,7.25,5.61,24.1,24.1,26,0
2.6049,0,0,0,0,0,0,5120,-5120,877,813,900,900,0,0,461,438,0,0,7.25,5.61,24.1,24.1,26,0
2.607,0,0,0,0,0,0,5120,-5120,878,816,900,900,0,0,464,441,0,0,7.25,5.61,24.2,24.2,26,0
2.6091,0,0,0,0,0,0,5120,-5120,879,809,900,600,0,0,467,443,0,0,7.25,5.63,24.2,24.2,26,0
2.61195,0,0,0,0,0,0,5120,-5120,879,809,900,600,0,0,467,443,0,0,7.22,5.61,24.2,24.2,26,0
2.61365,0,0,0,0,0,0,5120,-5120,879,812,900,900,0,0,470,446,0,0,7.22,5.63,24.2,24.1,26,0
2.61525,0,0,0,0,0,0,5120,-5120,879,812,900,900,0,0,470,446,0,0,7.22,5.61,24.2,24.1,26,0
2.6171,0,0,0,0,0,0,5120,-5120,880,815,900,900,0,0,473,449,0,0,7.22,5.61,24.1,24.2,26,0
2.61875,0,0,0,0,0,0,5120,-5120,880,815,900,900,0,0,473,449,0,0,7.22,5.63,24.1,24.2,26,0
2.6207,0,0,0,0,0,0,5120,-5120,881,808,900,600,0,0,476,451,0,0,7.22,5.63,24.1,24.1,26,0
2.62235,0,0,0,0,0,0,5120,-5120,881,808,900,900,0,0,476,451,0,0,7.22,5.63,24.1,24.1,26,0
2.6246,0,0,0,0,0,0,5120,-5120,881,811,900,900,0,0,479,454,0,0,7.19,5.63,24.2,24.2,26,0
2.6266,0,0,0,0,0,0,5120,-5120,882,814,900,900,0,0,482,457,0,0,7.19,5.61,24.1,24.2,26,0
2.62875,0,0,0,0,0,0,5120,-5120,882,814,900,900,0,0,482,457,0,0,7.19,5.61,24.1,24.2,26,0
2.6305,0,0,0,0,0,0,5120,-5120,882,817,900,900,0,0,485,460,0,0,7.18,5.61,24.2,24.2,26,0
2.6325,0,0,0,0,0,0,5120,-5120,883,810,900,600,0,0,488,462,0,0,7.18,5.61,24.2,24.2,26,0
2.63495,0,0,0,0,0,0,5120,-5120,883,810,900,600,0,0,488,462,0,0,7.16,5.61,24.2,24.2,26,0
2.63675,0,0,0,0,0,0,5120,-5120,884,813,900,900,0,0,491,465,0,0,7.16,5.61,24.2,24.1,26,0
2.6389,0,0,0,0,0,0,5120,-5120,884,813,900,900,0,0,491,465,0,0,7.16,5.61,24.2,24.1,26,0
2.64075,0,0,0,0,0,0,5120,-5120,884,815,900,900,0,0,494,468,0,0,7.13,5.61,24.2,24.2,26,0
2.64325,0,0,0,0,0,0,5120,-5120,885,818,900,900,0,0,497,471,0,0,7.12,5.61,24.2,24.1,26,0
2.64515,0,0,0,0,0,0,5120,-5120,885,818,900,900,0,0,497,471,0,0,7.09,5.61,24.2,24.1,26,0
2.64735,0,0,0,0,0,0,5120,-5120,885,821,900,900,0,0,500,474,0,0,7.09,5.63,24.2,24.2,26,0
2.6499,0,0,0,0,0,0,5120,-5120,886,823,900,900,0,0,503,477,0,0,7.09,5.61,24.2,24.2,26,0
2.652,0,0,0,0,0,0,5120,-5120,886,823,900,900,0,0,503,477,0,0,7.07,5.61,24.2,24.2,26,0
2.65395,0,0,0,0,0,0,5120,-5120,895,816,1200,600,0,0,507,479,0,0,7.07,5.61,24.2,24.1,26,0
2.65595,0,0,0,0,0,0,5120,-5120,895,819,900,900,0,0,510,482,0,0,7.04,5.63,24.2,24.1,26,0
2.65835,0,0,0,0,0,0,5120,-5120,895,819,900,900,0,0,510,482,0,0,7.04,5.63,24.1,24.2,26,0
2.6604,0,0,0,0,0,0,5120,-5120,896,821,900,900,0,0,513,485,0,0,7.01,5.61,24.2,24.2,26,0
2.66245,0,0,0,0,0,0,5120,-5120,896,824,900,900,0,0,516,488,0,0,7,5.61,24.2,24.2,26,0
2.66495,0,0,0,0,0,0,5120,-5120,896,824,900,900,0,0,516,488,0,0,6.94,5.61,24.1,24.2,26,0
2.667,0,0,0,0,0,0,5120,-5120,896,826,900,900,0,0,519,491,0,0,6.91,5.61,24.1,24.1,26,0
2.66895,0,0,0,0,0,0,5120,-5120,896,826,900,900,0,0,519,491,0,0,6.91,5.63,24.1,24.1,26,0
2.6715,0,0,0,0,0,0,5120,-5120,896,828,900,900,0,0,522,494,0,0,6.74,5.61,24.2,24.2,26,0
2.6738,0,0,0,0,0,0,5120,-5120,896,831,900,900,0,0,525,497,0,0,6.73,5.61,24.1,24.1,26,0
2.6756,0,0,0,0,0,0,5120,-5120,896,831,900,900,0,0,525,497,0,0,6.68,5.61,24.1,24.1,26,0
2.67765,0,0,0,0,0,0,5120,-5120,896,823,900,600,0,0,528,499,0,0,6.68,5.61,24.2,24.2,26,0
2.6799,0,0,0,0,0,0,5120,-5120,906,826,1200,900,0,0,532,502,0,0,6.65,5.61,24.2,24.2,26,0
2.68195,0,0,0,0,0,0,5120,-5120,906,826,1200,900,0,0,532,502,0,0,6.59,5.61,24.2,24.2,26,0
2.6838,0,0,0,0,0,0,5120,-5120,906,828,900,900,0,0,535,505,0,0,6.58,5.61,24.2,24.2,26,0
2.68595,0,0,0,0,0,0,5120,-5120,905,830,900,900,0,0,538,508,0,0,6.56,5.61,24.2,24.2,26,0
2.6887,0,0,0,0,0,0,5120,-5120,905,830,900,900,0,0,538,508,0,0,6.56,5.61,24.2,24.2,26,0
2.6907,0,0,0,0,0,0,5120,-5120,905,833,900,900,0,0,541,511,0,0,6.55,5.61,24.2,24.1,26,0
2.69265,0,0,0,0,0,0,5120,-5120,914,835,1200,900,0,0,545,514,0,0,6.56,5.61,24.1,24.1,26,0
2.69515,0,0,0,0,0,0,5120,-5120,914,835,1200,900,0,0,545,514,0,0,6.56,5.61,24.1,24.1,26,0
2.69705,0,0,0,0,0,0,5120,-5120,914,837,900,900,0,0,548,517,0,0,6.56,5.61,24.1,24.1,26,0
2.699,0,0,0,0,0,0,5120,-5120,914,837,900,900,0,0,548,517,0,0,6.55,5.61,24.1,24.1,26,0
2.70165,0,0,0,0,0,0,5120,-5120,914,839,900,900,0,0,551,520,0,0,6.5,5.61,24.2,24.1,26,0
2.70435,0,0,0,0,0,0,5120,-5120,913,841,900,900,0,0,554,523,0,0,6.5,5.61,24.2,24.1,26,0
2.7066,0,0,0,0,0,0,5120,-5120,922,842,1200,900,0,0,558,526,0,0,6.5,5.61,24.1,24.2,26,0
2.7087,0,0,0,0,0,0,5120,-5120,922,842,1200,900,0,0,558,526,0,0,6.46,5.61,24.1,24.2,26,0
2.7108,0,0,0,0,0,0,5120,-5120,921,844,900,900,0,0,561,529,0,0,6.46,5.61,24.1,24.2,26,0
2.71325,0,0,0,0,0,0,5120,-5120,921,846,900,900,0,0,564,532,0,0,6.44,5.6,24.2,24.1,26,0
2.7154,0,0,0,0,0,0,5120,-5120,921,846,900,900,0,0,564,532,0,0,6.44,5.6,24.2,24.1,26,0
2.71755,0,0,0,0,0,0,5120,-5120,929,848,1200,900,0,0,568,535,0,0,6.44,5.6,24.1,24.1,26,0
