AùL, 0, 0, -1
31.8, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
31.9, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
OYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
31.8, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
31.9, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
OYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
31.8, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
31.9, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
Time,Mode,Speed,PinCmd,Action,xValue,yValue,PatternState
0.0, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.2, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.3, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.4, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.5, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.6, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.7, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.8, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
0.9, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.1, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.2, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.3, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.4, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.5, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.6, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.7, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
1.9, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.0, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.1, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.2, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.3, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.4, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.5, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.6, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.8, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
2.9, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.0, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.1, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.2, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.3, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.4, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.6, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.7, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.8, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
3.9, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
4.0, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
4.1, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
4.2, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
4.4, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
4.5, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
4.6, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
4.7, JOYSTICK, 0, 000, NO_SIGNAL, 0, 0, -1
