Time,M1SetpointPWM,M2SetpointPWM,M1SetpointVel,M2SetpointVel,M1SetpointPos,M2SetpointPos,M1PWM,M2PWM,M1Speed,M2Speed,M1ISpeed,M2ISpeed,M1SpeedError,M2SpeedError,M1Pos,M2Pos,M1PosError,M2PosError,M1Current,M2Current,Temp1,Temp2,MBatt,LBatt
1.8704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,24.9,26.3,0
2.4624,0,0,0,0,0,0,5120,-5120,1334,1384,1500,1500,0,0,524,560,0,0,0.66,2.62,24.9,24.9,26.2,0
2.46535,0,0,0,0,0,0,5120,-5120,1334,1384,1500,1500,0,0,524,560,0,0,0.66,2.62,24.9,24.8,26.2,0
2.468,0,0,0,0,0,0,5120,-5120,1330,1378,1200,1200,0,0,528,564,0,0,0.66,2.62,24.8,24.8,26.2,0
2.4708,0,0,0,0,0,0,5120,-5120,1335,1382,1500,1500,0,0,533,569,0,0,0.66,2.61,24.8,24.9,26.2,0
2.4735,0,0,0,0,0,0,5120,-5120,1340,1386,1500,1500,0,0,538,574,0,0,0.64,2.61,24.8,24.9,26.2,0
2.4765,0,0,0,0,0,0,5120,-5120,1336,1380,1200,1200,0,0,542,578,0,0,0.64,2.58,24.8,24.8,26.2,0
2.4792,0,0,0,0,0,0,5120,-5120,1341,1384,1500,1500,0,0,547,583,0,0,0.61,2.58,24.8,24.8,26.2,0
2.48255,0,0,0,0,0,0,5120,-5120,1346,1388,1500,1500,0,0,552,588,0,0,0.63,2.56,24.9,24.9,26.2,0
2.48575,0,0,0,0,0,0,5120,-5120,1341,1382,1200,1200,0,0,556,592,0,0,0.63,2.55,24.9,24.9,26.2,0
2.48905,0,0,0,0,0,0,5120,-5120,1346,1385,1500,1500,0,0,561,597,0,0,0.63,2.55,24.8,24.9,26.2,0
2.49255,0,0,0,0,0,0,5120,-5120,1351,1389,1500,1500,0,0,566,602,0,0,0.63,2.52,24.8,24.9,26.2,0
2.49655,0,0,0,0,0,0,5120,-5120,1347,1383,1200,1200,0,0,570,606,0,0,0.63,2.52,24.8,24.8,26.2,0
2.49885,0,0,0,0,0,0,5120,-5120,1347,1383,1200,1200,0,0,570,606,0,0,0.63,2.5,24.8,24.8,26.2,0
2.50095,0,0,0,0,0,0,5120,-5120,1351,1387,1500,1500,0,0,575,611,0,0,0.61,2.49,24.8,24.8,26.2,0
2.5034,0,0,0,0,0,0,5120,-5120,1356,1390,1500,1500,0,0,580,616,0,0,0.61,2.47,24.8,24.9,26.2,0
2.50545,0,0,0,0,0,0,5120,-5120,1356,1390,1500,1500,0,0,580,616,0,0,0.61,2.44,24.8,24.9,26.2,0
2.50815,0,0,0,0,0,0,5120,-5120,1351,1394,1200,1500,0,0,584,621,0,0,0.61,2.43,24.9,24.8,26.2,0
2.5106,0,0,0,0,0,0,5120,-5120,1356,1388,1500,1200,0,0,589,625,0,0,0.61,2.43,24.9,24.8,26.2,0
2.5132,0,0,0,0,0,0,5120,-5120,1351,1391,1200,1500,0,0,593,630,0,0,0.61,2.43,24.9,24.9,26.2,0
2.5154,0,0,0,0,0,0,5120,-5120,1351,1391,1200,1500,0,0,593,630,0,0,0.61,2.41,24.9,24.9,26.2,0
2.51765,0,0,0,0,0,0,5120,-5120,1356,1395,1500,1500,0,0,598,635,0,0,0.6,2.41,24.8,24.9,26.2,0
2.5199,0,0,0,0,0,0,5120,-5120,1360,1398,1500,1500,0,0,603,640,0,0,0.58,2.4,24.9,24.9,26.2,0
2.5232,0,0,0,0,0,0,5120,-5120,1355,1392,1200,1200,0,0,607,644,0,0,0.58,2.4,24.9,24.9,26.2,0
2.5257,0,0,0,0,0,0,5120,-5120,1360,1395,1500,1500,0,0,612,649,0,0,0.58,2.4,24.9,24.9,26.2,0
2.5278,0,0,0,0,0,0,5120,-5120,1360,1395,1500,1500,0,0,612,649,0,0,0.58,2.4,24.9,24.8,26.2,0
2.52985,0,0,0,0,0,0,5120,-5120,1364,1398,1500,1500,0,0,617,654,0,0,0.58,2.38,24.8,24.8,26.2,0
2.53175,0,0,0,0,0,0,5120,-5120,1364,1398,1500,1500,0,0,617,654,0,0,0.58,2.37,24.8,24.8,26.2,0
