Time,M1SetpointPWM,M2SetpointPWM,M1SetpointVel,M2SetpointVel,M1SetpointPos,M2SetpointPos,M1PWM,M2PWM,M1Speed,M2Speed,M1ISpeed,M2ISpeed,M1SpeedError,M2SpeedError,M1Pos,M2Pos,M1PosError,M2PosError,M1Current,M2Current,Temp1,Temp2,MBatt,LBatt
305.20205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.20395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.20605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.21225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19.1,26.1,0
305.21415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19.1,26.1,0
305.2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19,26.1,0
305.2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19,26.1,0
305.2208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19,26.1,0
305.22315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19.1,26.1,0
305.2293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19,26.1,0
305.23145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19,26.1,0
305.2335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19,26.1,0
305.2353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19,26.1,0
305.2372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19,19,26.1,0
305.23915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19,26.1,0
305.24145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19,26.1,0
305.24345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19,26.1,0
305.2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10441,-10773,0,0,0,0,19.1,19,26.1,0
