Time,M1SetpointPWM,M2SetpointPWM,M1SetpointVel,M2SetpointVel,M1SetpointPos,M2SetpointPos,M1PWM,M2PWM,M1Speed,M2Speed,M1ISpeed,M2ISpeed,M1SpeedError,M2SpeedError,M1Pos,M2Pos,M1PosError,M2PosError,M1Current,M2Current,Temp1,Temp2,MBatt,LBatt
1541.63965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.64245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.64475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.64705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.64935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.65165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.6539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.65835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.6604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.66235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.6648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.6675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.6704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.67275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,24.9,26.1,0
1541.6793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.68105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.68575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.6884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.6908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.69315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.69575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.6977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.69975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.70245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.70485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.70715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.70945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.71185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.71945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25,26.1,0
1541.72155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.73055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.73285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.73535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.73795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.7404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.74705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25,26.1,0
1541.7491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25,26.1,0
1541.75125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.75705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.75865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.76245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.76595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.77055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.77465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.77705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.2,26.1,0
1541.77905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.2,26.1,0
1541.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.78275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.78705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.78905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.7908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.7945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.7963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.79875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.80375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.80555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.8073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.8091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.8108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.81265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.81435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.81635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.81865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.8208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.82275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.8245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.82625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.82845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25,26.1,0
1541.8304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.8321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.83375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.83595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.8381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.8394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25.1,25.1,26.1,0
1541.8408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
1541.84305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380478,-2403777,0,0,0,0,25,25.1,26.1,0
