Time,M1SetpointPWM,M2SetpointPWM,M1SetpointVel,M2SetpointVel,M1SetpointPos,M2SetpointPos,M1PWM,M2PWM,M1Speed,M2Speed,M1ISpeed,M2ISpeed,M1SpeedError,M2SpeedError,M1Pos,M2Pos,M1PosError,M2PosError,M1Current,M2Current,Temp1,Temp2,MBatt,LBatt
17.8799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.8822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.88435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.88655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.8887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.89105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.8931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.89545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.8977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.89955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.90145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.9034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.9053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.9077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.91005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.9126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.91465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.9168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.91865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.92055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.92295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.9249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.9277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.92965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.93145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.93335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.9352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.9371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.93945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.94145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.94385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.94615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.94985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.95175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.95365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.95795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.96005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.96385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.96615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.96805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.96995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.97185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.97445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.97645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.9788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.98105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.98345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.98565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.9877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.98975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23.9,26.3,0
17.99165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.99385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,26.3,0
17.99615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,24,26.3,0
17.99805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
17.99995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
18.00195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,23.9,26.3,0
